,,,,
UTC-time,Sydney,Brussels,Montréal,Vancouver
"Monday, 18 November 2024 at 13:00:00",Tue 12:00 midnight *,Mon 2:00 pm,Mon 8:00 am,Mon 5:00 am
"Monday, 18 November 2024 at 14:00:00",Tue 1:00 am *,Mon 3:00 pm,Mon 9:00 am,Mon 6:00 am
"Monday, 18 November 2024 at 15:00:00",Tue 2:00 am *,Mon 4:00 pm,Mon 10:00 am,Mon 7:00 am
"Monday, 18 November 2024 at 16:00:00",Tue 3:00 am *,Mon 5:00 pm,Mon 11:00 am,Mon 8:00 am
"Monday, 18 November 2024 at 17:00:00",Tue 4:00 am *,Mon 6:00 pm,Mon 12:00 noon,Mon 9:00 am
"Monday, 18 November 2024 at 18:00:00",Tue 5:00 am *,Mon 7:00 pm,Mon 1:00 pm,Mon 10:00 am
"Monday, 18 November 2024 at 19:00:00",Tue 6:00 am *,Mon 8:00 pm,Mon 2:00 pm,Mon 11:00 am
"Monday, 18 November 2024 at 20:00:00",Tue 7:00 am *,Mon 9:00 pm,Mon 3:00 pm,Mon 12:00 noon
"Monday, 18 November 2024 at 21:00:00",Tue 8:00 am *,Mon 10:00 pm,Mon 4:00 pm,Mon 1:00 pm
"Monday, 18 November 2024 at 22:00:00",Tue 9:00 am *,Mon 11:00 pm,Mon 5:00 pm,Mon 2:00 pm
"Monday, 18 November 2024 at 23:00:00",Tue 10:00 am *,Tue 12:00 midnight,Mon 6:00 pm,Mon 3:00 pm
"Tuesday, 19 November 2024 at 00:00:00",Tue 11:00 am *,Tue 1:00 am,Mon 7:00 pm,Mon 4:00 pm
"Tuesday, 19 November 2024 at 01:00:00",Tue 12:00 noon *,Tue 2:00 am,Mon 8:00 pm,Mon 5:00 pm
"Tuesday, 19 November 2024 at 02:00:00",Tue 1:00 pm *,Tue 3:00 am,Mon 9:00 pm,Mon 6:00 pm
"Tuesday, 19 November 2024 at 03:00:00",Tue 2:00 pm *,Tue 4:00 am,Mon 10:00 pm,Mon 7:00 pm
"Tuesday, 19 November 2024 at 04:00:00",Tue 3:00 pm *,Tue 5:00 am,Mon 11:00 pm,Mon 8:00 pm
"Tuesday, 19 November 2024 at 05:00:00",Tue 4:00 pm *,Tue 6:00 am,Tue 12:00 midnight,Mon 9:00 pm
"Tuesday, 19 November 2024 at 06:00:00",Tue 5:00 pm *,Tue 7:00 am,Tue 1:00 am,Mon 10:00 pm
"Tuesday, 19 November 2024 at 07:00:00",Tue 6:00 pm *,Tue 8:00 am,Tue 2:00 am,Mon 11:00 pm
"Tuesday, 19 November 2024 at 08:00:00",Tue 7:00 pm *,Tue 9:00 am,Tue 3:00 am,Tue 12:00 midnight
"Tuesday, 19 November 2024 at 09:00:00",Tue 8:00 pm *,Tue 10:00 am,Tue 4:00 am,Tue 1:00 am
"Tuesday, 19 November 2024 at 10:00:00",Tue 9:00 pm *,Tue 11:00 am,Tue 5:00 am,Tue 2:00 am
"Tuesday, 19 November 2024 at 11:00:00",Tue 10:00 pm *,Tue 12:00 noon,Tue 6:00 am,Tue 3:00 am
"Tuesday, 19 November 2024 at 12:00:00",Tue 11:00 pm *,Tue 1:00 pm,Tue 7:00 am,Tue 4:00 am
"Tuesday, 19 November 2024 at 13:00:00",Wed 12:00 midnight *,Tue 2:00 pm,Tue 8:00 am,Tue 5:00 am